Unigram,Frequency
raided,9
loamy,2
chalk,3
Folklore,10
tales,28
independently,20
percolated,1
antiquaries,1
Aylesford,1
Anglo,51
Saxon,28
textual,3
sixteenth,10
Wiltshire,9
seventeenth,16
Hurlers,1
circles,22
occurrence,16
folklorist,2
Menefee,1
animistic,2
Hartley,14
Morris,26
morris,1
dances,12
Antiquarian,2
antiquarian,10
Reverend,10
Noble,10
Barming,1
Gentleman,7
1842,22
Beale,2
Druidical,1
unpublished,7
Associating,1
druids,1
suggestion,29
linguistically,3
Celtic,51
Gael,1
Dun,4
chiefs,4
Belgic,2
Gauls,4
1825,18
Wright,57
alerted,8
vicar,11
Lambert,10
Larking,2
subterranean,10
cromlech,1
peasantry,2
Cotty,1
attributing,7
1857,34
Kemble,2
findings,17
pottery,9
pile,11
ad,25
Institute,117
Rochester,8
antiquary,2
Roach,2
Jessop,2
uncovered,13
gypsy,1
elaborated,8
dolmen,3
Meopham,1
Anthropological,2
hears,11
curious,9
Colderham,1
erections,1
Flinders,4
Petrie,8
Coldreham,1
Kentish,2
earthworks,4
commentator,10
enclosure,11
Payne,14
Druid,1
overgrown,7
brambles,1
brushwood,2
Collectanea,1
Cantiana,1
landowner,5
Instructor,1
Brompton,1
1892,28
Augustus,18
Pitt,18
Rivers,35
encouraging,19
1882,31
Comparing,3
sepulchral,6
anterior,9
domination,4
avenues,5
1904,35
Clinch,5
Suggesting,3
neolithic,2
workmanship,4
Ultimately,22
urging,14
comparing,27
Avebury,1
Arborlow,1
Stanton,5
Bennett,46
lithics,2
chalky,1
niece,21
craniology,1
reconstruct,7
excavate,8
Filkins,5
Reader,6
Mr,54
Boyd,7
Harker,1
Malling,1
heed,3
careful,12
anthropologist,8
Bough,1
theorise,1
excavating,5
resident,35
Gravesend,2
Gilbert,56
Antiquaries,11
commencement,7
miniature,8
jungle,14
sporadically,9
shored,2
concrete,97
foundations,16
holes,29
shortcomings,8
commend,1
Management,56
Crawford,6
Harrison,49
plaque,14
erroneously,7
Leslie,54
Grinsell,2
rectified,3
stunning,12
Krasnyi,11
Kavkaz,9
Красный,1
Кавказ,1
Siege,19
Odessa,6
Sevastopol,10
Kerch,5
Feodosiya,3
Guards,9
reclassified,10
Laid,2
Rossud,1
Lazarev,2
Svetlana,1
Hetman,6
Pavlo,1
Skoropadskyi,1
Petro,1
Doroshenko,1
Mykolaiv,1
undamaged,5
lightly,14
mounting,13
impracticable,2
MK,5
superstructure,17
massively,4
B7,1
Pattern,3
Lender,2
AA,27
533,11
millimetre,7
abaft,1
forecastle,6
crane,4
catapult,4
funnel,12
1935,68
Heinkel,3
Komintern,2
rebuilt,50
refitted,4
Barbarossa,3
exchanged,14
Minizini,2
34,103
quarterdeck,7
rearmost,3
Poti,3
salvaged,5
Chervona,2
Ukraina,4
Ten,36
quadruple,11
.50,3
Oerlikon,6
barrage,10
gunfire,13
convoys,19
157th,3
battalion,138
Romanian,50
Fontanka,1
Dofinovka,1
evacuated,34
Crimea,1
Caucasian,10
388th,1
Novorossiysk,3
Tuapse,2
354th,1
bombarding,3
disembarked,3
mortar,26
retaliation,16
Junkers,6
Ju,3
Stuka,2
StG,1
misses,10
steering,12
Sposobnyi,1
patched,3
Krym,2
Brigades,33
wiped,10
interdict,1
Taman,1
Bridgehead,1
forbid,3
redesignated,15
Rhode,32
freeway,111
Providence,13
metropolitan,18
beaches,23
Narragansett,4
Kingstown,4
Newport,30
lane,81
interchanges,10
terminating,5
Warwick,12
northbound,8
lanes,45
Interstate,39
unnumbered,6
arterial,11
exit,63
Routes,8
Wickford,6
1965,100
designation,72
exits,10
Transportation,41
southernmost,5
overpasses,5
Oak,13
Allenton,5
separation,25
postponed,16
fork,6
default,5
crossing,66
northwesterly,3
Kettle,2
Hole,7
Pond,5
southwest,87
curves,13
transitions,6
passes,109
Lafayette,3
Amtrak,3
Northeast,14
Corridor,4
Junction,12
cloverleaf,5
interchange,65
Greenwich,13
interchanging,2
Hunt,16
403,9
Quonset,5
Freeway,20
Davisville,1
Heading,5
southbound,9
7B,1
7A,1
402,13
Frenchtown,3
expressway,10
farmlands,2
suburban,18
overpass,7
401,2
Exit,19
mainline,7
defaults,2
118,19
bypass,18
roadway,35
RIDPW,2
relocation,12
thoroughfare,3
Relocated,1
drivers,35
redirected,2
accident,58
undivided,9
grassy,7
median,23
1967,92
eleven,59
RIDOT,6
archeological,3
Indians,25
centralized,5
extension,61
RIODT,1
chase,27
driver,52
speeding,2
exited,7
vehicle,56
Liberties,4
restarted,1
amend,3
reworking,7
trumpet,3
ramps,13
termini,2
signalized,1
roads,96
signaled,5
wetlands,13
sparked,16
Froberg,1
Marsh,32
environmentalists,3
safest,2
upgrading,4
wells,14
reconfiguration,1
Italics,1
denote,8
Pet,11
Shop,15
Neil,41
hip,67
hop,47
Eliot,21
poem,311
Waste,6
Land,132
Bobcat,1
imprint,18
EMI,15
Hague,6
Please,10
Brit,2
Hit,8
Ivor,12
Novello,3
Song,384
Composers,4
Songwriters,7
favourite,28
poll,31
ITV,28
Theft,6
Auto,6
Stop,36
Pop,39
Sting,4
Smash,7
Hits,17
Unique,1
Opportunities,3
Lots,3
Money,18
Chance,6
Want,21
Lover,8
Could,5
Get,17
Arrested,3
Excited,1
Divided,1
Zero,15
Rent,1
Sin,3
Tonite,1
jazz,74
bassline,9
Billie,4
thrilled,5
rap,21
accent,17
Belgium,47
import,11
contractual,5
Watkins,9
U.S,23
BBC4,1
Synth,1
Britannia,3
1h,1
21m,1
19s,2
sampling,11
mu,2
Emulator,1
keyboard,21
synthpop,3
socially,12
propulsive,4
Grandmaster,3
Message,9
snaky,1
obsessive,4
sparse,13
beats,42
Nottingham,11
gangster,8
pointing,28
T.S,3
arcane,1
listeners,29
prostitutes,9
boys,46
posh,1
lyric,16
Geneva,5
Vladimir,4
Lenin,4
smuggled,4
pivotal,6
Wilson,59
Socialism,3
stalling,3
Erlewine,13
Allmusic,23
hypnotic,3
Actually,2
Hoerburger,1
catchy,13
enticing,2
foreboding,3
riffs,10
nullified,2
peevish,1
spoken,28
asides,2
posturing,4
Concrete,6
Hubbard,6
musicOMH,3
Nitsuh,1
Abebe,1
Pitchfork,10
PopArt,1
speaker,38
mumbles,1
raincoat,1
slinking,1
sights,10
BRIT,4
Andy,110
Morahan,1
Watson,42
dolls,23
shop,41
sequence,142
cultures,23
freezes,3
Wentworth,9
Petticoat,1
garage,17
coat,28
necktie,1
blank,14
ghostlike,2
imperiously,2
apprentice,10
Waterloo,8
pans,4
WHSmith,2
concourse,1
decker,2
bus,28
Aldgate,1
advertising,53
Evita,100
Bridge,91
Clock,2
poses,9
pastiche,6
Houses,9
arcades,5
Leicester,35
protestors,3
Picket,1
apartheid,3
vigil,4
closeup,1
purple,17
queue,4
Fletch,3
Desperately,1
Seeking,2
Susan,24
MTV,88
ha,35
Take,8
debuted,122
VRT,1
RPM,5
attract,33
Producer,15
debuting,9
Phonographic,11
BPI,6
Switzerland,45
Formats,7
Credits,44
Helena,13
Jerome,11
engineer,53
Jacob,29
Roszak,1
remixing,5
Certifications,17
Walthamstow,1
Faces,3
Posters,2
Kicking,19
Chairs,1
Wrapped,39
Clarkson,77
RCA,19
Smoakstack,1
Sessions,5
Produced,6
Greg,47
Kurstin,16
penned,7
carols,1
duets,6
Ronnie,13
Dunn,17
Reba,2
McEntire,7
Trisha,2
Yearwood,4
Weary,4
genre,71
Jaki,2
Byard,2
Drawing,5
inspirations,7
soundtracks,12
Charlie,82
famed,9
classics,10
comprises,26
marking,36
singular,10
plethora,2
emotions,35
holidays,10
Albums,56
platinum,41
Underneath,29
Tree,33
dresses,22
Cautionary,6
Tale,14
Venetian,4
Las,39
Vegas,39
Miracle,7
Bridgestone,5
Oh,35
Grown,2
Idol,19
Classics,10
iTunes,21
Session,5
Blake,22
Shelton,10
Cheers,11
pave,5
mood,27
stock,35
Discussions,2
instrumentalist,3
Stronger,7
Kahne,5
Bee,12
Geggy,1
Tah,1
Lily,4
Are,45
Shins,1
Morrow,3
Echo,7
Studio,34
EastWest,1
Barn,3
showcase,10
experimenting,8
chops,3
liberating,5
pays,17
Gadson,1
Dukes,3
McCurdy,2
Withers,1
resonate,1
Trapanese,1
arrange,11
Mellotron,1
Chamberlin,1
taping,7
stimulate,8
alto,4
soprano,5
backup,15
booth,3
Hey,10
bluesy,1
Harry,42
Potter,6
weird,7
Theme,8
Wanting,4
usual,37
blues,20
stuff,21
Christmasy,1
Back,47
Pieces,1
Troubled,1
transcended,1
catered,2
umbrella,7
Bing,9
Crosby,10
Rosemary,14
Clooney,1
Merry,9
Guaraldi,2
Trio,7
Gift,8
resonance,11
fiancé,5
Brandon,16
Blackstock,3
tunes,9
Arrison,2
Aben,1
Eubanks,3
Shane,12
McAnally,1
ballad,42
confesses,8
unrequited,2
singled,15
resonates,2
Edge,33
Have,28
Yourself,6
saccharine,3
Rudolph,10
Bells,9
Ringing,3
melancholic,7
narrates,6
stepson,7
pathetically,1
Elvis,14
Presley,4
Dedicated,4
morphs,3
…,34
happier,2
Hammerstein,1
Favorite,9
Things,26
eleventh,31
shouldn,3
Carats,2
Cathy,2
Livvi,1
Franc,1
Eartha,1
Kitt,1
Santa,76
Madonna,43
Imogen,2
Heap,1
dysfunctional,6
melody,42
carol,2
capella,1
stanza,25
ecclesiastical,19
hymn,11
Emmanuel,11
internationally,32
Sony,46
Nativity,2
formats,6
Aaron,13
Borns,1
quoting,6
timeless,2
defying,2
Amazon.com,7
Target,6
LP,15
Record,21
Pressing,1
scarf,10
snow,24
reissued,7
Walmart,2
Promotion,16
Vevo,2
Hamish,1
Dusted,1
Global,14
pegged,2
biggest,56
audience,154
slot,14
rerun,2
attire,7
Voice,25
Ellen,19
DeGeneres,2
Selected,7
advertisements,31
Belk,2
Amazon,7
Kindle,1
Fire,38
HDX,1
Garth,20
Kacey,1
Musgraves,1
Hayley,3
Esten,1
Meghan,2
Trainor,2
airplay,14
Praised,2
approvingly,2
blazoned,1
Slant,15
Sal,11
Cinquemani,12
Hugh,42
applauded,4
fifteenth,17
charted,46
seventy,14
Edison,6
serviced,3
Metacritic,24
assigns,8
normalized,1
uptempo,4
arrangements,39
brassy,4
alluring,2
favors,4
fares,1
strongest,42
execution,38
conventional,36
fiery,4
appealing,13
respite,8
template,9
relentlessly,5
pursuing,15
shouting,6
texture,14
coronate,1
roughed,1
edges,51
lending,6
imbues,1
longing,7
authenticity,11
NPR,11
glossy,10
heartfelt,5
contrasting,9
Quality,3
Seasonal,1
Selection,13
Casarino,1
spends,10
Zeitgeist,1
whitewashed,3
crap,3
Cowell,5
lauding,3
rendering,14
belting,6
ambles,1
assuredly,1
soulful,3
hangs,9
torchy,1
Newsday,5
columnist,17
Glenn,14
Gamboa,3
handles,6
expertly,5
remarkably,8
jazzily,1
somehow,12
HitFix,7
Melinda,5
Newman,20
yore,1
lovingly,1
Klimek,1
Slate,5
yuletide,2
Caramanica,7
faithful,16
mindful,2
analysts,7
predicted,37
foresaw,2
bestselling,7
retailers,9
analyst,4
Bakula,4
Boyle,6
traction,1
131,25
Thanksgiving,1
benefiting,2
136,7
763,3
Soundscan,3
Digital,46
AC,8
Tracks,21
Inglés,1
Airplay,7
Country,45
785,2
Internationally,2
tracked,37
Reid,9
ARIA,22
Schweizer,1
Hitparade,2
Corporation,51
Halbert,1
Wilhousky,1
liner,38
Instruments,1
'easter,8
cyclone,168
southeast,84
Keys,32
Stream,6
intensify,22
exhibiting,3
tropical,472
millibars,3
Hurricane,240
NHC,19
classify,12
beach,79
erosion,20
brunt,5
households,37
Widespread,4
outages,17
southeastward,4
Plains,22
Deep,36
cyclogenesis,9
trough,33
forecaster,3
Beven,1
advisories,23
forecasters,6
assess,18
Deemed,1
intensified,65
F,118
cold,62
convection,62
trait,4
extratropical,48
indications,7
280,18
attain,16
barometric,23
mb,8
inHg,57
Fujiwhara,2
swung,10
northwestward,23
tandem,3
Southeast,22
ripped,9
awnings,1
Thousands,8
customers,19
dams,48
overwhelmed,29
Extensive,9
flooded,40
Florence,10
hydroplaned,1
drowned,13
Strong,15
Diamond,14
Shoals,3
gusted,3
Wrightsville,2
surf,8
ledge,4
dunes,9
breached,5
Mid,11
Tidewater,1
tides,22
Sandbridge,1
beachfront,4
gradient,8
utility,10
Maryland,83
Minor,56
Otherwise,6
Gusts,1
downed,14
cars,52
Lighting,2
Company,351
Ulster,35
Rensselaer,1
Counties,17
Stephentown,1
gust,8
58,46
Fork,12
Southold,1
seaside,5
anticipated,25
Gale,9
affecting,30
Maine,18
restore,41
electricity,22
Ranniello,1
Utilities,6
Haven,106
barges,12
moorings,2
Jefferson,12
Milford,4
indirectly,10
Vermont,15
thunderstorms,8
tributaries,36
Piscataquog,1
runoff,15
jams,5
shingles,3
roofs,22
gutters,1
119,11
Ashaway,1
Statewide,1
totaled,20
Nantucket,11
Reportedly,3
142,7
135,14
Property,9
billboards,3
tent,16
Patriots,2
foundation,95
deadly,15
Attleboro,1
fatalities,27
Prudential,3
Rainfall,13
contributing,20
Sholay,62
pronunciation,14
Embers,1
Hindi,23
Ramesh,6
Sippy,17
Veeru,26
Jai,24
Dharmendra,10
Sanjeev,5
ruthless,14
dacoit,4
Gabbar,32
Amjad,7
Hema,5
Jaya,5
Bhaduri,8
Films,26
Filmfare,9
rocky,24
Ramanagara,5
Karnataka,16
Certification,2
mandated,10
198,5
tepid,1
favourable,13
showings,4
theatres,20
Minerva,7
inflation,7
conventions,17
Westerns,4
masala,3
mixes,8
glorification,3
ethos,8
mobilised,8
usurpers,3
homosocial,3
bonding,10
allegory,8
Burman,3
dialogues,10
extremely,75
memes,2
vernacular,8
3D,73
Ramgarh,6
policeman,10
Baldev,4
summons,7
thieves,6
reward,14
thwart,3
dacoits,4
extort,2
villagers,24
goons,1
Holi,1
bandits,5
flee,18
inaction,3
shawl,2
jovial,2
cynical,4
fond,11
Basanti,8
feisty,4
talkative,1
cart,9
Radha,6
reclusive,3
widowed,9
subtly,9
affections,4
Skirmishes,3
hideout,6
pursuit,42
Fighting,14
unaware,23
gunfight,3
singlehandedly,1
ignite,5
dynamite,6
sticks,15
den,4
catches,14
reminds,12
spike,13
soled,2
injure,2
Cast,17
Jaidev,1
Satyen,1
Kappu,1
Ramlaal,1
servant,11
Hangal,1
Rahim,1
Chacha,1
imam,6
Sachin,1
Ahmed,7
Jagdeep,4
Soorma,7
Bhopali,5
comical,6
trader,5
Leela,1
Mishra,3
Mausi,1
Asrani,2
Jailor,2
Chaplin,2
Keshto,1
Mukherjee,2
Hariram,1
barber,5
kick,54
Mac,17
Mohan,5
Sambha,3
sidekick,7
Viju,1
Khote,2
Kaalia,1
kills,48
roulette,1
Iftekhar,1
Inspector,4
Khurana,1
Helen,28
Mehbooba,9
Jalal,1
Agha,1
snippet,2
screenwriter,10
Salim,5
Javed,3
acquaintances,4
styled,10
Akira,10
Kurosawa,2
Samurai,2
Sergio,13
Spaghetti,2
Sturges,1
Magnificent,3
westerns,2
Peckinpah,3
Bunch,2
Pat,24
Garrett,14
Butch,6
Cassidy,2
Sundance,8
Frontier,6
McBain,1
Mera,4
Gaon,2
Desh,2
Sikkay,1
menaced,1
Gwalior,1
nose,31
warning,52
policemen,6
villain,20
El,115
Indio,1
Gian,5
Volontè,1
Few,10
Dollars,1
acquaintance,9
Bhopal,1
viewed,89
woodcutter,1
Casting,27
Danny,79
Denzongpa,1
Feroz,2
Dharmatma,1
Abhishapta,1
Chambal,2
exploits,15
Taroon,1
Pran,2
Initially,55
paired,3
woo,4
Shatrughan,1
Sinha,1
lobbied,18
romantically,11
Shweta,1
Abhishek,1
wooing,4
Seeta,1
Aur,1
Geeta,1
ensuring,21
retakes,1
Filming,33
Bangalore,5
filmmakers,10
Ram,30
Yedekar,2
township,11
Rajkamal,1
outdoors,6
lighting,21
Nagar,8
lavish,12
banquets,3
Yeh,3
Dosti,3
lamps,21
Pune,3
Panvel,1
stereophonic,2
widescreen,5
Regarding,13
70mm,1
awe,2
magnifies,1
definitely,24
differentiator,1
stylised,5
CinemaScope,2
differentiate,13
tagline,7
Alternate,1
Censor,3
massacred,4
audiences,55
fifteen,49
unedited,1
VHS,14
Eros,2
preserves,6
Themes,20
Koushik,1
Banerjea,3
sociologist,11
rogue,4
masculinity,2
likeable,6
outlaws,10
criminality,2
erodes,1
Wimal,2
Dissanayake,4
evolving,8
dialectic,3
cinema,45
Madhava,2
Prasad,17
marginalised,3
mercenaries,8
humanised,1
dualism,9
antagonist,19
pervasive,3
fascinated,6
mannerisms,3
spectacle,10
outweighed,3
melodrama,8
picturisation,1
glamourised,1
uninhibited,1
melodramas,2
occupies,24
fetish,1
centrepiece,2
battleground,2
supremacy,6
comforting,2
logical,18
devaluation,1
vigilante,2
culminated,20
Emergency,8
Dissanayeke,1
Sahai,2
Indianised,1
Heide,1
melodramatic,6
materialistic,2
Maithili,1
Rao,14
Encyclopedia,4
Cinema,8
infuses,1
feudalistic,1
Ted,20
Shen,6
hysterical,3
intermittent,8
populist,7
Islamist,3
Ziauddin,1
Sardar,2
lampoons,1
Politics,16
Desires,1
Innocence,3
Culpability,1
caricature,9
stereotyping,3
mockery,4
buffoonish,1
impotent,1
garrulous,3
belle,1
bordering,17
Dina,1
Holtzman,1
Globalization,1
Nation,17
Diaspora,2
sake,9
normative,2
heterosexual,8
Anand,3
Bakshi,1
unused,16
updated,46
Haa,1
Jab,1
Tak,2
Jaan,1
blazing,1
playback,4
compilations,8
Say,17
Demis,1
Roussos,1
anthologised,1
recreated,9
Kronos,1
Stolen,7
Heart,32
Asha,1
Bhosle,2
Himesh,1
Reshammiya,1
Aap,1
Kaa,1
Surroor,1
friendship,30
anthem,47
Mahadevan,1
Udit,2
Narayan,5
Malayalam,6
Friends,84
Barack,10
Obama,13
Binaca,1
Geetmala,1
filmi,1
Mehooba,1
1976,87
Koi,3
Haseena,1
totalled,5
Oli,1
Marlow,4
psychedelic,4
incredible,16
Symposium,3
Shoma,1
Chatterji,1
lesson,8
evokes,4
exemplary,4
soundmatching,1
continuity,12
intensifying,8
Box,29
lacklustre,1
viewership,10
additionally,14
snippets,1
sensation,18
zones,31
Delhi,22
Uttar,13
Pradesh,24
Hyderabad,19
Blockbuster,2
golden,40
jubilees,1
celebrate,36
jubilee,7
Dilwale,1
Dulhania,1
Jayenge,1
286,8
earnings,15
websites,23
nett,1
778,1
nineteen,14
adjusting,5
K.L,1
Amladi,1
ember,1
gravely,2
flawed,14
mincing,1
milieu,5
imitation,4
fury,2
Trade,27
journals,12
columnists,1
flop,3
Studies,40
Quarterly,4
Gallagher,7
breaks,36
formless,1
incoherent,3
superficial,16
nasty,7
commended,12
unnecessary,18
Hindustan,1
trailblazer,1
practically,13
extraordinary,25
seamless,1
labelling,3
indisputable,1
formulaic,7
slapdash,2
cinematography,8
slapstick,2
obituary,7
G.P,1
revolutionized,4
filmmaking,6
professionalism,6
Shinde,3
Editing,6
Actor,41
Role,10
Cinematographer,1
Colour,6
Dwarka,1
Divecha,1
honours,31
pastiches,2
spawned,25
subgenre,4
Curry,3
definitive,16
setter,1
watershed,67
scriptwriters,2
profession,11
iconic,19
Kitne,1
aadmi,1
Jo,13
dar,1
gaya,2
samjho,1
mar,1
Bahut,1
yaarana,1
laagta,1
hai,1
Looks,1
parodied,8
ushered,1
omnipotent,5
oppressors,1
villains,8
Shakal,1
Kulbhushan,1
Kharbanda,1
Shaan,2
Mogambo,1
Amrish,2
Bhujang,1
Tridev,1
Iconic,1
Performances,4
superstar,4
Zanjeer,1
etched,3
promos,4
sitcoms,4
villainous,7
spoof,9
Ke,7
mothers,15
Comedian,2
spinoff,3
digitally,16
remastered,17
Gopal,4
Varma,5
Aag,1
DD,35
Mobile2win,1
mobile,44
phones,11
wallpapers,1
ringtones,1
articles,27
Malti,1
Reading,20
Making,10
Classic,29
stature,8
belongs,25
Kismet,1
Mother,19
Mughal,9
Azam,1
Aapke,1
Hain,1
Koun,1
..,11
lasting,30
summarised,8
Shekhar,1
Geo,2
Mandviwalla,1
Karachi,8
Filmmaker,1
Ketan,1
Mehta,2
Maya,41
grandson,24
Sasha,1
Uttam,4
finalised,6
computer,100
animator,6
digital,88
colour,61
corrected,10
composited,2
logs,30
scatter,4
collides,2
gunshot,4
frees,4
panoramic,8
trailer,20
unveiled,18
Akhtar,1
Stansfield,27
footballer,17
striker,26
Yeovil,31
Hereford,23
Exeter,30
counties,56
Cullompton,2
Rangers,85
Elmore,3
impressing,4
FA,79
offs,34
feat,16
colorectal,3
surgery,48
sporting,40
Flybe,2
livery,1
Plymouth,14
Devon,11
Marie,38
thoughtful,6
intelligent,29
delighted,7
Evesham,3
Colts,4
10s,3
Worcestershire,11
Leicestershire,2
Twyford,1
Spartans,8
Tiverton,1
reverting,4
Wolverhampton,14
Wanderers,45
Torquay,9
siblings,34
Southport,2
concluding,17
Northwich,2
Huish,1
replay,17
Doncaster,7
Rovers,23
Stevenage,2
Borough,25
Stadium,87
Northfleet,1
Abdoulai,1
tibia,4
fibula,1
80th,4
substitute,52
Kirk,24
Carlisle,21
Swansea,11
Gall,5
Graham,36
Guinan,3
Cheltenham,11
Farnborough,2
77th,12
Bertram,2
finals,101
Walkers,1
Halifax,8
relegated,41
seal,14
Eleven,10
Wembley,25
36th,14
goalscorer,11
Phillips,21
Morecambe,4
Burton,15
whereby,14
Cambridge,70
09,47
braces,2
Macclesfield,3
Gillingham,6
Rockingham,1
Kettering,11
Fairclough,1
Illness,3
abdominal,4
Spotlight,3
colon,2
Tagg,2
weak,72
Dagenham,5
Redbridge,4
Cathedral,63
mourners,3
Posthumous,2
Portsmouth,17
widow,24
Foundation,48
offering,44
Somerset,179
Herefordshire,2
bowel,1
Keegan,5
Pound,8
applause,9
Topsham,1
Honours,10
Saprang,72
Kalayanamitr,3
Thai,36
สพรั,1
่,3
ง,3
กัลยาณมิตร,3
rtgs,1
Sa,2
phrang,1
Kanlayanamit,1
Poei,2
เปย,1
บิ,1
๊,1
กเปย,1
Lampang,2
Thailand,28
junta,26
Chairman,23
Directors,14
AoT,19
Boards,3
TOT,20
Telecom,11
telecommunication,4
aristocratic,10
Academies,5
Preparatory,8
Chulachomklao,3
corp,1
Region,20
overthrew,2
Thaksin,16
Shinawatra,5
fiercest,1
banished,8
chair,39
purged,5
investigations,18
overthrown,6
baht,10
questioning,17
Rak,4
CNS,10
Sonthi,10
Boonyaratkalin,3
demoted,6
Deputy,14
Permanent,10
Defense,45
Anupong,9
Paochinda,4
AFAPS,2
classmates,8
Paisan,1
Katanyu,1
Bannawit,5
Kengrien,2
Legislative,5
Suvarnabhumi,7
Lertrat,1
Rattavanich,1
43rd,5
NDC,2
thesis,31
narcotics,1
Kraisi,1
Karnasuta,1
EGAT,1
Platoon,20
Leader,13
Regimental,3
Combat,33
Nakhonsawan,1
Burma,5
Surasee,1
Kanchanaburi,1
15th,61
Buri,1
Prachuap,1
Khiri,1
Province,44
rumored,2
Pongsak,3
Ekbannasingh,1
ineffectually,1
insurgency,13
arson,2
Pisarn,1
Wattanawongkhiri,1
Coup,2
Phitsanulok,1
northeastern,50
Analysts,5
Shin,7
Temasek,1
Democracy,9
oust,1
democracy,10
interference,14
reshuffle,3
Manas,5
Paorik,1
aspires,2
Chiang,2
Mai,4
Pornchai,1
Kranlert,1
inactive,10
Cabinet,13
556,2
colonels,1
Vuthiphong,3
Priebjrivat,1
Somkuan,1
Bruminhent,1
enterprises,8
reaffirmed,5
backbone,8
telecommunications,9
networks,56
genuine,23
telecom,2
Build,2
Transfer,4
Operate,1
BTO,1
concession,38
agreements,17
owns,9
optical,9
fibre,5
exercised,26
unmonitored,1
slush,1
unnamed,45
electronic,58
Vuthipong,2
budgets,5
transparency,3
refusing,21
Natee,1
Sukolrat,1
Revenues,1
Fixed,6
telephone,25
PTV,3
internet,24
Bangkok,16
Hong,37
Kong,44
executives,16
subscribers,6
Mobile,22
venture,35
bills,30
supplier,9
accumulated,22
debt,31
Samart,3
payment,17
restart,3
Purging,1
hinted,12
Chotisak,1
Asapaviriya,1
Seripisut,1
Temiyavej,1
spearheaded,5
Don,130
Muang,4
objections,17
urgent,12
tarmac,3
warnings,22
Karun,1
Chandrarangsu,1
patient,17
bleeding,14
Stopping,1
debating,4
drain,17
AOT,3
Suebsak,2
Promboon,2
EIT,1
drained,16
Tortrakul,1
Yomnak,1
solve,24
shut,35
automated,6
luggage,4
scanning,4
IATA,4
checkpoints,4
Serious,7
gaps,8
terminal,16
checks,5
unchecked,4
contracting,17
Loxley,1
ICTS,1
consortium,9
termination,3
mind,88
Trip,5
Tuesday,5
delegation,10
surname,13
squandering,3
disbursing,1
unrealistic,8
expenses,14
inflating,3
fee,51
booking,3
smear,3
realised,33
defendant,6
summoned,20
accusers,1
Financial,8
plunged,4
charters,9
surged,1
137,19
quarterly,2
Stock,13
Exchange,15
explosives,14
detectors,8
insurrection,3
downwards,5
Net,7
suspended,51
forcing,57
reporting,18
concessionaire,1
fierce,23
spying,2
insulting,8
disrespecting,1
Bhumibol,2
lèse,2
majesté,2
corrupted,4
lawsuit,26
royalist,2
monarchy,13
soldier,35
Oliver,25
Jufer,1
Swiss,50
jailed,8
bombings,8
Chavalit,2
Yongchaiyudh,1
proves,7
bombs,34
dirty,9
topple,1
contradicted,7
Surayud,2
Chulanont,2
instructional,3
terrorism,8
disclose,2
dots,12
Chitrlada,1
clarified,13
remark,11
baseless,2
Resignation,3
Pridiyathorn,3
Devakula,2
implicated,4
IRPC,1
Petrochemical,1
Chienchuang,2
advisor,9
Prachai,1
Liaophairat,1
TPI,1
discredit,4
deposed,11
Politicians,2
Chat,3
Pattana,1
Dabbaransi,1
Chatikavanij,1
Alongkorn,1
Palabutr,1
Korbsak,1
Sabavasu,1
Prapat,1
Panya,1
chatraksa,1
defected,5
senator,6
Kraisak,1
Choonhavan,1
Wuttipong,1
Piebjriya,1
wat,1
Sophon,1
Supapong,1
Narong,1
Phet,1
prasert,1
Somkiat,1
Osotspa,1
Mad,23
dogs,22
Rath,1
mouths,9
urged,35
decisive,22
triumphed,5
contender,3
grooming,1
logistics,7
Asia,89
MP,16
brink,6
crumble,3
coups,4
abrogated,2
outlawed,5
Constitutional,11
Tribunal,4
Parties,2
allying,2
alum,2
AFPS,1
Montri,2
Sangkhasap,2
Lt,4
Prayuth,1
ocha,1
Panitan,1
Wattanayagorn,1
Chulalongkorn,1
adviser,7
ally,19
slighted,3
Adviser,2
Advisor,2
Toosarat,1
rampant,6
Kyodo,1
ศรี,1
Phenkaew,1
เพ,1
็,1
ญแก,1
้,2
ว,1
eldest,26
Phraya,1
Sucharitraksa,1
Chao,2
Kalayanamitrs,1
Hokkien,2
-Northern,1
Luang,1
Phichai,1
Waree,1
Ung,1
Mang,1
หลวงพิไชยวารี,1
มั,1
แซ,1
อึ,1
Siam,1
Taksin,1
plying,2
samphao,1
Rama,13
evoked,8
credibility,6
Viphada,1
วิภาดา,1
Cadet,4
Ekawee,1
เอกวีร,1
์,3
Akharawat,1
อัครวัต,1
Ekwarit,1
เอกวริษฐ,1
Trivia,1
161,9
centimeters,4
kilograms,12
31st,10
videos,69
Grammys,1
Gramophone,1
Sciences,23
proficiency,1
excellence,12
Album,55
Criteria,2
recipients,8
Genesis,10
Confusion,5
Weird,13
Yankovic,78
Fat,6
Monkees,5
Nesmith,2
Parts,11
Olivia,25
Newton,14
Physical,7
retitled,10
Recipients,1
nominees,6
included0,1
Whole,23
Roth,14
Janet,30
Control,26
Videos,4
Julien,5
offending,4
urinating,2
Reagan,38
imaginative,7
sampler,3
accompanies,7
Invisible,3
Touch,4
Spitting,2
Image,14
Thatcher,5
Crazy,103
Eat,13
Em,3
Smile,3
Rutherford,8
Jim,104
Yukich,1
Lloyd,36
Blair,18
Nominees,1
