Bigram,Frequency
"('streak', 'against')",1
"('Senators', '.')",2
"('Columbus', 'held')",1
"('held', 'a')",2
"('a', '3')",3
"('3', '–')",3
"('–', '2')",9
"('2', 'lead')",1
"('lead', 'with')",1
"('with', 'under')",1
"('under', 'a')",3
"('a', 'minute')",1
"('minute', 'to')",1
"('play', '.')",1
"('<s>', 'Jason')",1
"('Jason', 'Spezza')",1
"('Spezza', 'tied')",1
"('tied', 'the')",1
"('game', 'on')",1
"('a', 'late')",2
"('late', 'power')",1
"('power', 'play')",2
"('play', ',')",2
"('with', 'just')",2
"('just', '4')",1
"('7', 'seconds')",1
"('seconds', 'remaining')",2
"('remaining', ',')",2
"(',', 'Milan')",1
"('Milan', 'Michalek')",1
"('Michalek', 'notched')",1
"('notched', 'the')",1
"('the', 'winning')",1
"('winning', 'goal')",2
"('goal', 'for')",1
"('the', 'Senators')",1
"('The', 'loss')",1
"('loss', 'helped')",1
"('helped', 'set')",1
"('set', 'a')",1
"('a', 'franchise')",2
"('franchise', 'record')",2
"('record', 'for')",3
"('for', 'futility')",1
"('futility', 'with')",1
"('a', '0')",1
"('1', 'record')",2
"('record', 'to')",3
"('start', 'a')",1
"('a', 'season')",1
"('<s>', '[')",2
"(']', 'The')",1
"('The', 'losing')",1
"('streak', 'came')",1
"('an', 'end')",8
"('end', 'three')",1
"('three', 'days')",3
"('days', 'later')",5
"('later', 'with')",1
"('a', 'win')",2
"('win', 'over')",3
"('over', 'the')",13
"('the', 'Detroit')",2
"('Detroit', 'Red')",3
"('Red', 'Wings')",3
"('Wings', '.')",1
"(',', 'several')",2
"('several', 'milestones')",1
"('milestones', 'were')",1
"('were', 'reached')",1
"('reached', '.')",1
"('<s>', 'James')",3
"('Wisniewski', 'made')",1
"('made', 'his')",4
"('his', 'Columbus')",1
"('Columbus', 'debut')",1
"('debut', ',')",1
"('Ryan', 'Johansen')",2
"('Johansen', 'and')",1
"('and', 'John')",2
"('John', 'Moore')",2
"('Moore', 'scored')",1
"('scored', 'their')",1
"('their', 'first')",6
"('first', 'career')",2
"('career', 'NHL')",2
"('NHL', 'goals')",1
"('goals', 'and')",4
"('and', 'Grant')",2
"('Grant', 'Clitsome')",1
"('Clitsome', 'had')",1
"('career', '@')",1
"('@', 'high')",1
"('high', 'three')",1
"('three', 'assists')",2
"('assists', '.')",2
"('Columbus', 'was')",6
"('create', 'any')",1
"('any', 'momentum')",1
"('momentum', 'from')",1
"('the', 'win')",1
"('win', ',')",1
"('and', 'continued')",1
"('to', 'struggle')",1
"('struggle', ',')",1
"(',', 'culminating')",1
"('culminating', 'in')",1
"('a', '2')",3
"('2', '–')",6
"('record', ',')",3
"('start', 'to')",1
"('season', 'for')",2
"('for', 'any')",5
"('team', 'struggling')",1
"('struggling', ',')",1
"(',', 'management')",1
"('management', 'attempted')",1
"('attempted', 'to')",6
"('to', '``')",4
"('``', 'shake')",1
"('shake', 'things')",1
"('things', 'up')",1
"('up', '``')",1
"('``', 'by')",7
"('by', 'making')",1
"('making', 'some')",1
"('some', 'roster')",1
"('roster', 'moves')",1
"('moves', '.')",1
"('first', 'move')",1
"('move', 'was')",1
"('of', 'center')",1
"('center', 'Mark')",1
"('Mark', 'Letestu')",1
"('Letestu', 'from')",1
"('the', 'Pittsburgh')",3
"('Pittsburgh', 'Penguins')",3
"('Penguins', '.')",2
"('traded', 'defenseman')",1
"('defenseman', 'Kris')",1
"('Kris', 'Russell')",1
"('Russell', 'to')",1
"('the', 'St.')",3
"('St.', 'Louis')",4
"('Louis', 'Blues')",4
"('Blues', 'for')",1
"('for', 'Nikita')",1
"('Nikita', 'Nikitin')",1
"('Nikitin', '.')",1
"('the', 'clubs')",1
"('clubs', 'slow')",1
"('slow', 'start')",1
"('start', 'continued')",1
"('continued', ',')",1
"(',', 'there')",4
"('were', 'rumors')",1
"('that', 'Head')",1
"('Arniel', 'would')",1
"('be', 'fired')",1
"('replaced', 'with')",1
"('with', 'Ken')",1
"('Ken', 'Hitchcock')",1
"('Hitchcock', '.')",1
"('<s>', 'Hitchcock')",2
"('Hitchcock', 'had')",1
"('had', 'previously')",2
"('previously', 'coached')",2
"('coached', 'the')",2
"('Jackets', 'to')",2
"('their', 'only')",1
"('only', 'playoff')",1
"('playoff', 'appearance')",2
"('appearance', 'in')",3
"('in', 'club')",1
"('club', 'history')",1
"('still', 'under')",1
"('under', 'contract')",1
"('contract', 'with')",3
"('franchise', 'through')",1
"('through', 'to')",1
"('<s>', 'Before')",2
"('Before', 'any')",1
"('any', 'of')",2
"('these', 'rumors')",1
"('rumors', 'came')",2
"('to', 'fruition')",1
"('fruition', ',')",1
"('Blues', 'asked')",1
"('asked', 'Columbus')",1
"('Columbus', 'for')",1
"('for', 'permission')",1
"('permission', 'to')",1
"('to', 'hire')",1
"('hire', 'Hitchcock')",1
"('Hitchcock', ',')",1
"('which', 'the')",11
"('Jackets', 'allowed')",1
"('allowed', '.')",1
"('Hitchcock', 'began')",1
"('began', 'his')",2
"('his', 'Blues')",1
"('Blues', 'coaching')",1
"('coaching', 'career')",1
"('career', 'with')",1
"('a', '6')",2
"('6', '–')",3
"('2', 'record')",3
"('in', 'his')",22
"('his', 'first')",8
"('first', 'nine')",1
"('nine', 'games')",1
"('while', 'Columbus')",1
"('Columbus', 'amassed')",1
"('amassed', 'a')",1
"('13', '–')",4
"('–', '3')",6
"('3', 'record')",1
"('start', 'the')",1
"('time', 'frame')",1
"('frame', 'as')",1
"('the', 'Hitchcock')",1
"('Hitchcock', 'rumors')",1
"('rumors', ',')",1
"(',', 'goaltender')",2
"('goaltender', 'Curtis')",2
"('Sanford', 'returned')",1
"('his', 'groin')",1
"('injury', 'on')",1
"('November', '13')",1
"('13', '.')",1
"('He', 'made')",2
"('first', 'start')",1
"('season', 'against')",1
"('the', 'Boston')",2
"('Boston', 'Bruins')",2
"('Bruins', ',')",1
"(',', 'losing')",2
"('losing', '2')",2
"('a', 'shootout')",3
"('shootout', '.')",1
"('Sanford', 'continued')",1
"('continued', 'his')",1
"('his', 'strong')",1
"('strong', 'play')",1
"(',', 'posting')",1
"('posting', 'a')",1
"(',', '1')",5
"('@', '38')",1
"('38', 'goals')",1
"('goals', 'against')",1
"('against', 'average')",1
"('average', 'and')",1
"('and', '.947')",1
"('.947', 'save')",1
"('save', 'percentage')",1
"('percentage', 'over')",1
"('over', 'his')",1
"('his', 'next')",4
"('next', 'six')",2
"('six', 'games')",3
"('Sanford', 'started')",1
"('started', '12')",1
"('12', 'consecutive')",1
"('consecutive', 'games')",1
"('games', 'before')",2
"('before', 'Steve')",1
"('Mason', 'made')",1
"('next', 'start')",1
"('start', '.')",2
"('The', 'number')",3
"('of', 'starts')",1
"('starts', 'might')",1
"('might', 'not')",1
"('been', 'as')",1
"('as', 'numerous')",1
"('numerous', ',')",1
"('but', 'prior')",1
"('the', 'November')",1
"('23', 'game')",1
"(',', 'Mason')",2
"('Mason', 'was')",3
"('was', 'hit')",1
"('hit', 'in')",1
"('the', 'head')",6
"('head', 'by')",1
"('by', 'a')",10
"('a', 'shot')",4
"('shot', 'from')",3
"('from', 'Rick')",1
"('Nash', 'during')",1
"('during', 'pre')",1
"('@', 'game')",8
"('game', 'warm')",1
"('warm', '@')",2
"('@', 'ups')",2
"('ups', 'and')",1
"('a', 'concussion')",2
"('concussion', '.')",1
"('<s>', 'Mason')",3
"('Mason', 'returned')",2
"('his', 'concussion')",1
"('concussion', 'after')",1
"('after', 'two')",1
"('two', 'games')",3
"(',', 'making')",3
"('making', 'a')",1
"('a', 'start')",1
"('start', 'against')",1
"('the', 'Vancouver')",2
"('Vancouver', 'Canucks')",2
"('Canucks', '.')",2
"('Mason', 'allowed')",1
"('allowed', 'only')",1
"('only', 'one')",2
"('one', 'goal')",1
"('goal', 'in')",2
"('game', 'despite')",1
"('despite', 'suffering')",1
"('suffering', 'from')",2
"('from', 'cramping')",1
"('cramping', 'in')",1
"('third', 'period')",3
"(',', 'temporarily')",1
"('temporarily', 'being')",1
"('being', 'replaced')",1
"('by', 'Sanford')",1
"('Sanford', 'for')",1
"('for', 'just')",1
"('three', 'minutes')",1
"('minutes', '.')",1
"('Columbus', 'won')",1
"('game', '2')",1
"('shootout', ',')",1
"(',', 'breaking')",2
"('breaking', 'a')",1
"('a', 'nine')",1
"('nine', '@')",1
"('game', 'losing')",3
"('streak', 'to')",2
"('the', 'Canucks')",1
"(',', 'Arniel')",1
"('Arniel', 'stated')",1
"('that', 'Sanford')",1
"('Sanford', 'was')",1
"('still', 'seen')",1
"('seen', 'as')",6
"(""'s"", 'number')",1
"('one', 'goaltender')",1
"('goaltender', '.')",1
"('<s>', 'However')",16
"('However', ',')",14
"('Mason', 'started')",1
"('started', 'four')",1
"('the', 'next')",5
"('games', 'with')",3
"('Jackets', 'going')",1
"('going', '0')",1
"('5', '–')",2
"('1', 'during')",1
"('during', 'that')",1
"('that', 'stretch')",1
"('stretch', '.')",1
"('=', 'January')",1
"('January', '–')",1
"('–', 'February')",1
"('February', '=')",1
"('=', 'With')",1
"('losing', 'continuing')",1
"('continuing', ',')",1
"('more', 'rumors')",1
"('rumors', 'began')",1
"('to', 'surface')",1
"('surface', '.')",1
"('Unlike', 'before')",1
"('before', ',')",2
"('the', 'rumors')",1
"('were', 'about')",1
"('about', 'player')",1
"('moves', 'rather')",1
"('than', 'coaching')",1
"('coaching', 'changes')",1
"('of', 'rumors')",1
"('were', 'that')",2
"('Jackets', 'would')",2
"('would', 'trade')",1
"('trade', 'Rick')",1
"('While', 'Howson')",1
"('Howson', 'stated')",3
"('had', 'never')",2
"('never', 'brought')",1
"('brought', 'up')",1
"('up', 'trading')",1
"('trading', 'Nash')",3
"('Nash', 'in')",1
"('in', 'discussions')",1
"('discussions', ',')",1
"('other', 'teams')",2
"('teams', 'had')",1
"('had', 'inquired')",1
"('inquired', 'about')",1
"('about', 'his')",1
"('his', 'availability')",1
"('availability', '.')",1
"('<s>', 'Nash')",2
"('Nash', 'stated')",2
"('that', 'if')",4
"('if', 'Columbus')",1
"('Columbus', 'felt')",1
"('felt', 'it')",3
"('would', 'make')",1
"('make', 'the')",4
"('franchise', 'better')",1
"('better', 'than')",2
"('than', 'he')",2
"('be', 'willing')",1
"('willing', 'to')",5
"('to', 'waive')",1
"('waive', 'his')",1
"('his', 'no')",1
"('no', '@')",2
"('@', 'trade')",1
"('trade', 'clause')",1
"('clause', '.')",1
"('<s>', 'Howson')",4
"('Howson', 'publicly')",1
"('publicly', 'stated')",1
"('had', 'no')",2
"('no', 'intention')",1
"('intention', 'of')",1
"('of', 'trading')",1
"('<s>', 'More')",1
"('More', 'rumors')",1
"('to', 'light')",1
"('light', 'when')",1
"('when', 'reports')",1
"('reports', 'attributed')",1
"('attributed', 'to')",1
"('to', 'Réseau')",1
"('Réseau', 'des')",1
"('des', 'sports')",1
"('sports', 'stated')",1
"('that', 'Carter')",1
"('was', 'unhappy')",1
"('unhappy', 'in')",1
"('Columbus', 'and')",2
"('and', 'demanded')",1
"('demanded', 'a')",1
"('a', 'trade')",2
"('trade', '.')",2
"('Howson', ',')",1
"(',', 'Carter')",1
"('Carter', 'and')",2
"('his', 'agent')",1
"('agent', 'all')",1
"('all', 'denied')",1
"('denied', 'that')",1
"('trade', 'request')",1
"('request', 'was')",1
"('was', 'ever')",1
"('ever', 'made')",1
"('made', ',')",1
"('were', 'unsure')",1
"('unsure', 'where')",1
"('the', 'reports')",1
"('reports', 'were')",1
"('were', 'coming')",1
"('coming', 'from')",2
"('from', '.')",1
"('trade', 'deadline')",5
"('deadline', 'approaching')",1
"('approaching', ',')",1
"(',', 'speculation')",1
"('speculation', 'picked')",1
"('picked', 'up')",1
"('up', 'on')",1
"('Jackets', 'trading')",1
"('trading', 'Carter')",1
"('<s>', 'Reports')",1
"('Reports', 'were')",1
"('that', 'Columbus')",1
"('was', 'trying')",1
"('trying', 'to')",1
"('to', 'trade')",4
"('trade', 'Carter')",1
"('``', '100')",1
"('100', 'percent')",1
"('percent', 'available')",1
"('the', 'halfway')",1
"('halfway', 'point')",1
"('point', 'of')",3
"('Jackets', 'barely')",1
"('barely', 'into')",1
"('into', 'double')",1
"('double', 'digit')",1
"('digit', 'wins')",1
"('wins', 'with')",1
"('5', 'record')",1
"(',', 'worst')",1
"('worst', 'in')",1
"('league', ',')",1
"('and', 'sitting')",2
"('sitting', '20')",1
"('20', 'points')",1
"('points', 'out')",3
"('of', 'playoff')",1
"('playoff', 'position')",2
"('position', ',')",2
"('Columbus', 'fired')",1
"('fired', 'Arniel')",1
"('Arniel', '.')",1
"('He', 'was')",10
"('was', 'replaced')",1
"('Richards', 'on')",1
"('an', 'interim')",1
"('interim', 'basis')",1
"('basis', '.')",2
"('<s>', 'Richards')",1
"('Richards', 'had')",1
"('the', 'Minnesota')",1
"('Minnesota', 'Wild')",1
"('Wild', '.')",1
"('He', 'recorded')",1
"('recorded', 'his')",1
"('first', 'coaching')",1
"('coaching', 'victory')",1
"('victory', 'for')",1
"('Jackets', 'in')",2
"('his', 'second')",1
"('a', '4')",4
"('3', 'win')",1
"('the', 'Phoenix')",3
"('Phoenix', 'Coyotes')",3
"('Coyotes', '.')",1
"('The', 'change')",1
"('change', 'in')",1
"('in', 'coaching')",1
"('coaching', 'did')",1
"('not', 'change')",1
"('change', 'the')",1
"('the', 'fortunes')",1
"('fortunes', 'of')",1
"('they', 'reached')",1
"('reached', 'the')",2
"('the', 'All')",1
"('Star', 'break')",1
"('break', 'with')",1
"('a', '13')",2
"('–', '30')",1
"('30', '–')",1
"('–', '6')",1
"('6', 'record')",1
"('record', '.')",2
"('the', 'break')",2
"('break', ',')",2
"(',', 'Blue')",1
"(""'"", 'owner')",1
"('owner', 'John')",1
"('John', 'P.')",1
"('P.', 'McConnell')",1
"('McConnell', 'sent')",1
"('sent', 'out')",1
"('a', 'letter')",6
"('letter', 'to')",4
"('to', 'fans')",1
"('fans', 'stating')",1
"('stating', 'his')",1
"('his', 'understanding')",1
"('understanding', 'of')",2
"('their', 'frustration')",1
"('frustration', '.')",1
"('He', 'added')",1
"('added', 'that')",1
"('that', 'action')",1
"('action', 'would')",1
"('be', 'taken')",1
"('taken', 'around')",1
"('deadline', ',')",5
"('the', 'Entry')",2
"('Draft', 'and')",1
"('and', 'free')",1
"('agency', 'to')",1
"('take', 'the')",3
"('new', 'direction')",1
"('direction', '.')",2
"('When', 'speaking')",1
"('speaking', 'of')",2
"(',', 'McConnell')",1
"('McConnell', 'stated')",1
"('stated', '``')",1
"('``', 'disappointing')",1
"('disappointing', 'is')",1
"('not', 'a')",2
"('strong', 'enough')",1
"('enough', 'word')",1
"('word', '``')",2
"('was', 'committed')",1
"('committed', 'to')",1
"('to', 'giving')",1
"('giving', 'fans')",1
"('fans', 'a')",1
"('which', 'they')",2
"('they', 'can')",2
"('be', 'proud')",1
"('proud', 'of')",1
"('of', '.')",1
"('also', 'thanked')",1
"('thanked', 'them')",1
"('them', 'for')",2
"('their', 'dedication')",1
"('dedication', 'and')",2
"('and', 'passion')",1
"('passion', ',')",1
"('while', 'reiterating')",1
"('reiterating', 'that')",1
"('team', 'goal')",1
"('``', 'win')",1
"('win', 'consistently')",1
"('consistently', 'and')",1
"('and', 'compete')",1
"('compete', 'for')",1
"('the', 'Stanley')",1
"('Stanley', 'Cup')",3
"('<s>', 'Days')",1
"('Days', 'later')",1
"('later', ',')",6
"('a', '250')",1
"('person', 'protest')",1
"('protest', 'occurred')",1
"('occurred', 'outside')",1
"('of', 'Nationwide')",1
"('Nationwide', 'Arena')",1
"('Arena', '.')",1
"('<s>', 'Fans')",1
"('Fans', 'were')",1
"('were', 'upset')",1
"('upset', 'with')",1
"(""'"", 'management')",1
"('management', 'and')",1
"('were', 'calling')",1
"('calling', 'for')",1
"('for', 'changes')",1
"('changes', 'at')",1
"('top', '.')",1
"('The', 'same')",2
"('same', 'day')",2
"('day', 'the')",2
"('the', 'fans')",3
"('fans', 'protested')",1
"('protested', ',')",1
"('was', 'announced')",1
"('announced', 'that')",4
"('franchise', 'would')",1
"('would', 'host')",1
"('host', 'the')",1
"('the', '2013')",1
"('2013', 'All')",1
"('Star', 'Game')",3
"('Game', '.')",3
"('was', 'without')",2
"('without', 'a')",3
"('a', 'representative')",1
"('representative', 'for')",1
"('2012', 'All')",1
"('@', 'star')",1
"('star', 'Game')",1
"('Game', ',')",1
"('but', 'Ryan')",1
"('Johansen', 'represented')",1
"('represented', 'the')",4
"('the', 'club')",1
"('club', 'as')",1
"('a', 'rookie')",1
"('rookie', 'participant')",1
"('participant', 'in')",1
"('the', 'Super')",1
"('Super', 'Skills')",1
"('Skills', 'Competition')",1
"('Competition', '.')",1
"(',', 'Johansen')",1
"('Johansen', 'participated')",1
"('the', 'Allstate')",1
"('Allstate', 'Insurance')",1
"('Insurance', 'NHL')",1
"('NHL', 'Breakaway')",1
"('Breakaway', 'Challenge')",1
"('Challenge', ',')",1
"('shootout', 'themed')",1
"('themed', 'event')",1
"('event', 'judged')",1
"('judged', 'by')",1
"('fans', '.')",1
"('He', 'received')",1
"('received', 'just')",1
"('just', '1')",1
"('1', '%')",1
"('%', 'of')",1
"('the', 'vote')",1
"('vote', 'and')",1
"('and', 'finished')",1
"('finished', 'last')",1
"('last', '.')",1
"('were', 'on')",1
"('the', 'road')",2
"('road', 'playing')",1
"('playing', 'the')",1
"('the', 'score')",1
"('score', 'tied')",1
"('tied', 'late')",1
"('late', 'in')",3
"(',', 'Kings')",1
"('Kings', ""'"")",2
"(""'"", 'defenseman')",1
"('defenseman', 'Drew')",1
"('Drew', 'Doughty')",1
"('Doughty', 'scored')",1
"('scored', 'with')",1
"('just', '0')",1
"('4', 'seconds')",1
"('remaining', 'to')",1
"('to', 'win')",2
"('win', 'the')",1
"('<s>', 'Upon')",2
"('Upon', 'review')",1
"('review', 'of')",5
"('the', 'goal')",3
"('goal', 'it')",1
"('it', ',')",4
"('was', 'determined')",1
"('determined', 'that')",1
"('the', 'clock')",8
"('clock', 'at')",1
"('at', 'Staples')",2
"('Center', 'froze')",1
"('froze', 'at')",1
"('seconds', 'for')",1
"('for', 'over')",1
"('a', 'full')",3
"('full', 'second')",2
"('second', ',')",2
"('which', 'would')",4
"('would', 'have')",3
"('in', 'time')",2
"('time', 'expiring')",1
"('expiring', 'prior')",1
"('goal', 'being')",1
"('being', 'scored')",1
"('scored', '.')",1
"('<s>', 'Kings')",2
"(""'"", 'General')",1
"('Manager', 'Dean')",1
"('Dean', 'Lombardi')",1
"('Lombardi', 'stated')",1
"('clock', 'was')",1
"('was', 'correct')",1
"('correct', 'and')",1
"('and', 'no')",2
"('no', 'extra')",1
"('extra', 'time')",1
"('time', 'had')",1
"('added', 'due')",1
"('the', 'way')",3
"('way', 'the')",1
"('clock', 'self')",1
"('self', '@')",9
"('@', 'corrects')",1
"('corrects', 'at')",1
"('at', 'various')",1
"('various', 'times')",1
"('times', '.')",2
"('stated', 'on')",1
"(""'s"", 'blog')",1
"('blog', 'that')",1
"('that', '``')",13
"('``', 'It')",4
"('is', 'an')",3
"('an', 'amazing')",1
"('amazing', 'coincidence')",1
"('coincidence', 'that')",1
"('that', 'with')",1
"('Kings', 'on')",1
"('a', 'power')",1
"('play', 'at')",1
"('Center', 'and')",1
"('a', 'mad')",1
"('mad', 'scramble')",1
"('scramble', 'around')",1
"('around', 'our')",1
"('our', 'net')",1
"('net', 'in')",1
"('the', 'dying')",1
"('dying', 'seconds')",1
"('seconds', 'of')",1
"('period', 'of')",2
"('2', 'hockey')",1
"('hockey', 'game')",1
"('game', 'that')",1
"('clock', 'stopped')",1
"('stopped', 'for')",1
"('at', 'least')",5
"('least', 'one')",1
"('one', 'full')",1
"('``', 'adding')",1
"('adding', 'that')",1
"('that', ',')",6
"('``', 'Either')",1
"('Either', 'there')",1
"('a', 'deliberate')",1
"('deliberate', 'stopping')",1
"('stopping', 'of')",1
"('clock', 'or')",1
"('clock', 'malfunctioned')",1
"('malfunctioned', '.')",1
"('<s>', 'NHL')",1
"('NHL', 'Senior')",1
"('Senior', 'Vice')",1
"('Vice', 'President')",1
"('President', 'of')",3
"('of', 'Hockey')",1
"('Hockey', 'Operations')",1
"('Operations', 'Colin')",1
"('Colin', 'Campbell')",1
"('Campbell', 'stated')",1
"('were', 'wronged')",1
"('wronged', ',')",1
"('the', 'outcome')",1
"('outcome', 'of')",1
"('could', 'not')",6
"('be', 'changed')",1
"('the', 'delay')",1
"('delay', 'was')",1
"('not', 'noticed')",1
"('noticed', 'by')",1
"('@', 'ice')",1
"('ice', 'officials')",1
"('officials', 'or')",1
"('situation', 'room')",1
"('room', 'in')",1
"('in', 'Toronto')",2
"('Toronto', '.')",2
"('To', 'determine')",1
"('determine', 'the')",1
"('the', 'true')",3
"('true', 'cause')",1
"('cause', 'of')",1
"('clock', 'pause')",1
"('pause', ',')",1
"('NHL', 'launched')",1
"('launched', 'an')",1
"('an', 'investigation')",1
"('investigation', ',')",1
"(',', 'talking')",1
"('talking', 'with')",1
"('clock', ""'s"")",1
"(""'s"", 'manufacturer')",1
"('manufacturer', 'and')",1
"('and', 'interviewing')",1
"('interviewing', 'Staples')",1
"('Center', 'staff')",1
"('staff', '.')",1
"('Two', 'weeks')",1
"('weeks', 'prior')",1
"('NHL', 'trade')",1
"('Columbus', 'announced')",1
"('that', 'unlike')",1
"('unlike', 'earlier')",1
"('earlier', 'in')",2
"('they', 'would')",7
"('would', 'listen')",1
"('trade', 'proposals')",1
"('proposals', 'involving')",1
"('involving', 'Rick')",1
"('though', 'they')",2
"('were', 'not')",8
"('not', 'actively')",1
"('actively', 'shopping')",1
"('shopping', 'him')",1
"('him', '.')",7
"('was', 'open')",1
"('open', 'to')",2
"('to', 'all')",3
"('all', 'options')",1
"('options', 'for')",1
"('for', 'improving')",1
"('improving', 'the')",1
"('including', 'trading')",1
"('<s>', 'Speculation')",1
"('Speculation', 'was')",1
"('was', 'that')",2
"('in', 'return')",1
"('return', 'for')",1
"('for', 'Nash')",1
"('Nash', 'the')",1
"('would', 'ask')",1
"('ask', 'for')",1
"('``', 'combination')",1
"('combination', 'of')",2
"('young', ',')",2
"(',', 'proven')",1
"('proven', 'players')",1
"(',', 'high')",1
"('high', '@')",4
"('@', 'end')",1
"('end', 'prospects')",1
"('prospects', 'and')",1
"('and', 'draft')",1
"('draft', 'picks')",3
"('picks', '.')",1
"('<s>', 'Leading')",1
"('Leading', 'up')",1
"('Jackets', 'dealt')",1
"('dealt', 'Antoine')",1
"('Antoine', 'Vermette')",1
"('Vermette', 'to')",1
"('Coyotes', 'for')",1
"('for', 'two')",4
"('two', 'draft')",1
"('picks', 'and')",2
"('and', 'goaltender')",1
"('Curtis', 'McElhinney')",1
"('McElhinney', '.')",1
"('<s>', 'Despite')",4
"('Despite', 'being')",1
"('being', 'injured')",1
"('injured', 'at')",1
"('of', 'McElhinney')",1
"('McElhinney', 'was')",1
"('was', 'believed')",8
"('believed', 'to')",11
"('give', 'Columbus')",1
"('Columbus', 'the')",1
"('the', 'flexibility')",1
"('flexibility', 'to')",1
"('trade', 'Curtis')",1
"('Sanford', '.')",1
"('The', 'following')",4
"('following', 'day')",2
"('on', 'February')",3
"('February', '23')",1
"('Columbus', 'traded')",1
"('traded', 'Jeff')",1
"('Carter', 'to')",1
"('Kings', '.')",1
"('the', 'deal')",2
"('deal', ',')",1
"('Columbus', 'acquired')",1
"('acquired', 'defenseman')",1
"('defenseman', 'Jack')",1
"('Jack', 'Johnson')",1
"('Johnson', 'and')",2
"('a', 'first')",1
"('pick', ';')",1
"('was', 'given')",5
"('given', 'the')",1
"('of', 'taking')",1
"('taking', 'the')",1
"('the', 'pick')",1
"('in', 'either')",1
"('either', '2012')",1
"('2012', 'or')",1
"('or', '2013')",1
"('2013', '.')",4
"('the', 'deadline')",1
"('to', 'come')",4
"('come', 'to')",5
"('terms', 'on')",1
"('a', 'deal')",1
"('deal', 'involving')",1
"('involving', 'Nash')",1
"('but', 'they')",1
"('they', 'did')",1
"('did', 'make')",1
"('make', 'one')",1
"('one', 'more')",1
"('more', 'move')",1
"('move', ';')",1
"(';', 'they')",6
"('they', 'sent')",1
"('sent', 'center')",1
"('center', 'Samuel')",1
"('Samuel', 'Pahlsson')",1
"('Pahlsson', 'to')",1
"('Canucks', 'in')",1
"('two', 'fourth')",1
"('fourth', '@')",1
"('and', 'minor')",2
"('minor', 'league')",1
"('league', 'defenseman')",1
"('defenseman', 'Taylor')",1
"('Taylor', 'Ellington')",1
"('Ellington', '.')",1
"(',', 'Howson')",2
"('Howson', 'announced')",1
"('team', 'had')",1
"('had', 'attempted')",1
"('trade', 'Nash')",1
"('Nash', 'at')",1
"(""'s"", 'request')",1
"('request', '.')",1
"('had', 'requested')",1
"('requested', 'the')",1
"('trade', 'after')",1
"('being', 'informed')",1
"('informed', 'that')",1
"('franchise', 'was')",1
"('was', 'going')",1
"('going', 'into')",1
"('into', 'another')",1
"('another', 'rebuilding')",1
"('rebuilding', 'phase')",1
"('phase', '.')",1
"('He', 'further')",1
"('further', 'noted')",1
"('noted', 'that')",5
"('he', '``')",2
"('``', 'could')",1
"('a', 'huge')",1
"('huge', 'part')",1
"('that', 'towards')",1
"('towards', 'bringing')",1
"('bringing', 'assets')",1
"('assets', 'in')",1
"('in', ',')",5
"('his', 'view')",2
"('view', '``')",1
"('``', 'it')",2
"('best', 'thing')",1
"('thing', 'for')",1
"('the', 'organization')",2
"('organization', ',')",1
"('and', 'personally')",1
"('personally', 'for')",1
"('for', '[')",1
"('[', 'his')",1
"('his', ']')",1
"(']', 'career')",1
"('career', '.')",4
"('the', 'personnel')",1
"('changes', ',')",1
"('Jackets', 'closed')",1
"('closed', 'out')",1
"('out', 'the')",1
"('month', 'with')",2
"('a', 'three')",3
"('three', '@')",14
"('streak', '.')",2
"('=', 'March')",1
"('March', '–')",1
"('–', 'April')",1
"('April', '=')",1
"('=', 'Columbus')",1
"('Columbus', 'started')",1
"('started', 'March')",1
"('March', 'with')",1
"('–', '0')",2
"('0', 'shutout')",1
"('shutout', 'against')",1
"('the', 'Colorado')",2
"('Colorado', 'Avalanche')",2
"('Avalanche', '.')",2
"('They', 'proceeded')",1
"('proceeded', 'to')",2
"('win', 'their')",1
"('their', 'next')",1
"('next', 'game')",1
"('game', 'against')",2
"('Coyotes', '5')",1
"('2', ',')",5
"('which', 'marked')",2
"('time', 'that')",4
"('Jackets', 'posted')",1
"('posted', 'back')",1
"('@', 'to')",2
"('to', '@')",2
"('@', 'back')",1
"('back', 'regulation')",1
"('regulation', 'victories')",1
"('victories', 'during')",1
"('Columbus', 'again')",1
"('again', 'defeated')",1
"('defeated', 'the')",1
"('the', 'Coyotes')",2
"('Coyotes', 'three')",1
"('later', 'to')",2
"('to', 'earn')",1
"('earn', 'their')",1
"('game', 'win')",3
"('win', 'streak')",3
"('streak', 'of')",2
"('They', 'extended')",1
"('extended', 'the')",2
"('the', 'streak')",1
"('to', 'four')",1
"('four', 'with')",1
"('Kings', 'before')",1
"('before', 'it')",1
"('it', 'came')",2
"('end', 'with')",1
"('1', 'loss')",1
"('Blues', '.')",1
"('only', 'four')",1
"('Jackets', '.')",2
"('They', 'immediately')",1
"('immediately', 'matched')",1
"('matched', 'their')",1
"('their', 'four')",1
"('streak', 'with')",1
"('streak', 'and')",1
"('with', 'ten')",1
"('ten', 'games')",2
"('games', 'remaining')",1
"('first', 'team')",1
"('team', 'eliminated')",1
"('eliminated', 'from')",2
"('from', 'playoff')",1
"('playoff', 'contention')",1
"('contention', '.')",1
"('<s>', 'Shortly')",2
"('Shortly', 'after')",1
"('being', 'eliminated')",2
"('eliminated', ',')",1
"('were', 'defeated')",1
"('defeated', 'by')",1
"('Oilers', '6')",1
"('3', ';')",1
